num_sec,num_ssec,unfinished_ms_file,suspicious_file_size,unused_block,suspicious_sector,null_block,unknow_data,class
3,1,0,1,1,1,1,1,1
2,1,0,0,1,1,1,1,1
3,2,0,0,1,1,1,1,1
3,1,0,0,1,1,1,1,1
2,2,0,1,1,1,1,1,1
2,4,0,0,1,1,1,1,1
6,1,0,0,1,1,1,1,1
3,1,0,0,0,0,1,0,1
3,2,0,0,1,1,1,1,1
3,2,0,0,1,1,1,1,1
3,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
1,2,0,1,1,1,1,1,1
5,1,0,0,1,1,1,1,1
3,1,0,1,1,1,1,1,1
3,4,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,3,0,1,1,1,1,1,1
3,1,0,0,1,0,1,1,1
2,2,0,0,1,1,0,1,1
5,1,0,0,0,0,1,0,1
2,1,0,0,1,1,1,1,1
3,1,0,0,1,1,1,1,1
2,3,0,1,1,1,1,1,1
2,1,0,0,0,0,0,0,1
2,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,2,0,0,1,1,1,1,1
3,2,0,0,1,1,1,1,1
2,2,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
3,2,0,0,1,1,1,1,1
4,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,3,0,0,1,1,0,1,1
2,1,0,0,1,1,1,1,1
2,4,0,0,1,1,1,1,1
4,2,0,0,1,0,1,1,1
2,2,0,0,1,0,1,1,1
3,1,0,0,1,1,1,1,1
3,1,0,1,1,1,1,1,1
3,3,0,0,0,0,0,0,1
4,1,0,0,1,1,1,1,1
2,2,0,0,1,1,1,1,1
3,2,0,1,1,0,1,1,1
2,2,0,0,1,1,1,1,1
4,2,0,0,0,0,1,0,1
4,1,0,0,1,1,1,1,1
4,1,0,0,0,0,1,0,1
2,1,0,0,1,1,1,1,1
1,1,0,0,0,0,1,0,1
3,2,0,1,1,1,1,1,1
3,4,0,0,1,1,1,1,1
3,1,0,0,1,1,1,1,1
2,2,0,1,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,1,0,0,0,0,1,0,1
7,1,0,0,0,0,1,0,1
5,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
3,1,0,0,0,0,1,0,1
4,2,0,0,1,1,1,1,1
2,3,0,1,1,1,1,1,1
3,4,0,0,1,1,1,1,1
3,2,0,0,1,1,1,1,1
3,2,0,0,1,1,1,1,1
1,1,0,0,0,0,1,0,1
3,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,1,0,1,1,1,1,1,1
4,2,0,0,1,1,1,1,1
3,1,0,0,0,0,1,1,1
3,2,0,0,1,1,1,1,1
3,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
3,1,0,1,1,1,1,1,1
2,1,0,0,1,1,1,1,1
1,2,0,0,1,1,1,1,1
1,2,0,1,1,1,1,1,1
1,2,0,1,1,1,1,1,1
2,4,0,1,1,1,1,1,1
2,2,0,1,0,0,1,1,1
3,1,0,1,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,2,0,1,0,0,1,1,1
1,2,0,0,1,1,1,1,1
1,2,0,1,1,1,1,1,1
5,1,0,0,1,1,1,1,1
3,1,0,0,1,0,1,1,1
1,2,0,1,1,1,1,1,1
3,2,0,0,1,1,1,1,1
3,1,0,0,1,1,1,1,1
1,2,0,1,1,1,1,1,1
5,3,0,0,0,0,1,0,1
1,2,0,1,1,1,1,1,1
4,1,0,0,1,1,1,1,1
3,1,0,1,1,1,1,1,1
2,2,0,0,1,1,1,1,1
8,1,0,0,0,0,1,0,1
3,1,0,0,1,0,1,1,1
2,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
5,1,0,0,0,0,1,0,1
3,1,0,0,1,1,1,1,1
3,3,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
2,1,0,0,1,1,1,1,1
3,2,0,0,1,1,1,1,1
3,3,0,0,1,1,0,1,1
2,2,0,0,0,0,0,1,1
4,2,0,0,0,0,1,0,1
3,1,0,0,1,1,1,1,1
4,1,0,0,0,0,1,0,1
1,2,0,0,1,0,1,1,1
1,1,0,1,1,1,1,1,1
6,1,0,0,1,1,1,1,1
1,1,0,0,0,0,1,0,1
2,1,0,0,1,1,1,1,1
